title,artist,category,image_file,lev_bas,lev_adv,lev_exp,lev_mas,lev_remas,version
天ノ弱,164,niconico＆VOCALOID™,09f6026981bfa534.png,3,7,10,12+,,GreeN
吉原ラメント,亜沙,niconico＆VOCALOID™,f996e3e62d932b50.png,5,7+,10+,13+,,MURASAKi
生きてるおばけは生きている,鬱P feat.flower,niconico＆VOCALOID™,e7d7afbbef397731.png,4,6,10,12+,,MURASAKi
踊れオーケストラ,YASUHIRO(康寛),niconico＆VOCALOID™,6fdaa71c47264392.png,5,6,8+,11,,MURASAKi
赤心性：カマトト荒療治,スズム,niconico＆VOCALOID™,8d5a0bee619f9c22.png,5,7,8+,13,,ORANGE PLUS
イノコリ先生,HoneyWorks,niconico＆VOCALOID™,63fb1212d0b7cc6c.png,4,6,8+,12,,PiNK
ECHO,CIRCRUSH,niconico＆VOCALOID™,c388ac7580206d1c.png,4,6,10,13,,PiNK PLUS
東京リアルワールド,out of service,niconico＆VOCALOID™,a4c576aec0c3897c.png,4,6,8,10,,PiNK PLUS
M.S.S.Planet,M.S.S Project,niconico＆VOCALOID™,c0ee52db4c23afe7.png,3,7,9+,13,,maimaiDX 2023
不毛！,ぽてんしゃる0,niconico＆VOCALOID™,548131ddb354349f.png,4,7,9,11+,,ORANGE
ネトゲ廃人シュプレヒコール,さつき が てんこもり,niconico＆VOCALOID™,194326e1cb7513ae.png,4,7,9+,13,,MURASAKi
StargazeR,骨盤P,niconico＆VOCALOID™,5a1892ce8c415ca5.png,4,6,9+,11+,,MURASAKi
みくみくにしてあげる♪【してやんよ】,ika,niconico＆VOCALOID™,4f61e6e5584ba3db.png,4,6,8,11,,ORANGE PLUS
ぽっぴっぽー,,niconico＆VOCALOID™,a614663a6453f7de.png,3,6,8+,12+,,GreeN
Nyan Cat EX,daniwell,niconico＆VOCALOID™,45086a744d1294be.png,4,7,10,12+,,GreeN
どうしてこうなった,うどんゲルゲ,niconico＆VOCALOID™,ace05ab995f9fee5.png,5,7,10+,13+,,ORANGE PLUS
magician's operation,EZFG,niconico＆VOCALOID™,9e5d4466d8429a5b.png,4,7,10+,13+,,GreeN PLUS
教えて!! 魔法のLyric,ちょむP <advanced mix>,niconico＆VOCALOID™,19c643efff825c85.png,6,7,8+,11+,,maimai
おちゃめ機能,ゴジマジP,niconico＆VOCALOID™,29d1106de82a3432.png,4,7,8,12+,,maimai PLUS
BAD∞END∞NIGHT,ひとしずくP・やま△,niconico＆VOCALOID™,379a393f1e3acfbf.png,4,7+,9+,12+,,maimai PLUS
ロミオとシンデレラ,doriko,niconico＆VOCALOID™,9a1d155fd3c46f5d.png,5,7+,10,11+,13,maimai PLUS
ダンシング☆サムライ,mathru(かにみそP),niconico＆VOCALOID™,d4f0ba13bfbcfb04.png,4,7,10,12,,maimai PLUS
ハロ／ハワユ,ナノウ,niconico＆VOCALOID™,7486b0344c14d632.png,4,5,8,11,,GreeN PLUS
林檎華憐歌,ビートまりお母(尾崎順子),niconico＆VOCALOID™,4077a676c90c2cba.png,4,6,10,11+,,GreeN PLUS
ないせんのうた,ナイセン - momoco-,niconico＆VOCALOID™,d6ef4f59f4072867.png,4,6,9+,11+,,MURASAKi PLUS
木彫り鯰と右肩ゾンビ,hanzo/赤飯歌唱Ver,niconico＆VOCALOID™,caa90ebabef5e041.png,5,7,9+,12+,,PiNK PLUS
デッドレッドガールズ,MARUDARUMA,niconico＆VOCALOID™,3f2e914b4c289b9f.png,4,7+,9+,13+,,ORANGE PLUS
One Step Ahead,伊東歌詞太郎,niconico＆VOCALOID™,8e3cad1f597c0558.png,4,6,10,11+,,ORANGE
Link,Clean Tears feat. Youna,maimai,1e44516a8a3b5a51.png,6,7,11,12,,maimai PLUS
Link,Circle of friends(天月-あまつき-・un:c・伊東歌詞太郎・コニー・はしやん),niconico＆VOCALOID™,e90f79d9dcff84df.png,5,7,9+,11+,,ORANGE
バッド・ダンス・ホール,ぱなまん/カラスヤサボウ,niconico＆VOCALOID™,9dfd23eb9143196f.png,4,6,10,12+,,MURASAKi PLUS
quiet room,有機酸,niconico＆VOCALOID™,abe34235d9fb7db3.png,3,6,8+,12,,maimaiDX
ロールプレイングゲーム,そらまふうらさか,niconico＆VOCALOID™,e38ab7bc712135a3.png,4,6,9,12,,FiNALE
